name,type,ministry,homepage,parent_name
"(사)남북교류협력지원협회","기타공공기관","통일부","www.sonosa.or.kr",""
"(재)예술경영지원센터","기타공공기관","문화체육관광부","http://www.gokams.or.kr/",""
"(재)우체국금융개발원","준정부기관(위탁집행형)","과학기술정보통신부","www.posid.or.kr",""
"(재)우체국물류지원단","준정부기관(위탁집행형)","과학기술정보통신부","http://www.pola.or.kr",""
"(재)우체국시설관리단","기타공공기관","과학기술정보통신부","http://www.poma.or.kr",""
"(재)일제강제동원피해자지원재단","기타공공기관","행정안전부","https://www.fomo.or.kr/",""
"(재)축산환경관리원","기타공공기관","농림축산식품부","https://www.lemi.or.kr",""
"(재)한국보건의료정보원","기타공공기관","보건복지부","www.k-his.or.kr",""
"(재)한국우편사업진흥원","기타공공기관","과학기술정보통신부","www.posa.or.kr",""
"(재)한국통계정보원","기타공공기관","국가데이터처","https://www.kosii.or.kr",""
"(주)강원랜드","공기업(시장형)","산업통상부","https://kangwonland.high1.com",""
"(주)공영홈쇼핑","기타공공기관","중소벤처기업부","www.gongyoung.kr",""
"(주)한국가스기술공사","공기업(준시장형)","산업통상부","www.kogas-tech.or.kr",""
"88관광개발(주)","기타공공기관","국가보훈부","www.88countryclub.co.kr",""
"가축위생방역지원본부","기타공공기관","농림축산식품부","https://www.lhca.or.kr",""
"강릉원주대학교치과병원","기타공공기관","교육부","http://www.knudh.or.kr",""
"강원대학교병원","기타공공기관","교육부","https://www.knuh.or.kr/",""
"건강보험심사평가원","준정부기관(위탁집행형)","보건복지부","www.hira.or.kr",""
"건설근로자공제회","기타공공기관","고용노동부","https://www.cw.or.kr",""
"건축공간연구원","기타공공기관","국무조정실","https://www.auri.re.kr/",""
"게임물관리위원회","기타공공기관","문화체육관광부","www.grac.or.kr",""
"경북대학교병원","기타공공기관","교육부","http://knuh.kr",""
"경북대학교치과병원","기타공공기관","교육부","www.knudh.kr",""
"경상국립대학교병원","기타공공기관","교육부","http://www.gnuh.co.kr/",""
"경제인문사회연구회","기타공공기관","국무조정실","www.nrc.re.kr",""
"육아정책연구소","기타공공기관","국무조정실","www.kicce.re.kr","경제인문사회연구회"
"공간정보품질관리원","기타공공기관","국토교통부","www.siqms.or.kr",""
"공무원연금공단","준정부기관(기금관리형)","인사혁신처","https://www.geps.or.kr",""
"과학기술사업화진흥원","기타공공기관","과학기술정보통신부","https://www.compa.re.kr",""
"과학기술정책연구원","기타공공기관","국무조정실","www.stepi.re.kr",""
"국가생명윤리정책원","기타공공기관","보건복지부","https://nibp.kr/",""
"국가유산진흥원","기타공공기관","국가유산청","www.kh.or.kr",""
"국가철도공단","준정부기관(위탁집행형)","국토교통부","https://www.kr.or.kr",""
