name,type,url,region
"국가평생교육진흥원","기타공공기관","https://www.nile.or.kr","서울특별시"
"한국형사·법무정책연구원","기타공공기관","http://www.kic.re.kr","서울특별시"
"한국문화예술교육진흥원","기타공공기관","","서울특별시"
"한국공항공사","공기업(시장형)","","서울특별시"
"한국공항공사 김포공항","한국공항공사 / 공기업(시장형)","","서울특별시"
"재단법인 대한건설기계안전관리원","기타공공기관","","서울특별시"
"한국생명존중희망재단","기타공공기관","","서울특별시"
"한국마약퇴치운동본부","기타공공기관","","서울특별시"
"재외동포협력센터","기타공공기관","","서울특별시"
"자동차손해배상진흥원","기타공공기관","","서울특별시"
"스포츠윤리센터","기타공공기관","","서울특별시"
"세종학당재단","기타공공기관","https://www.ksif.or.kr","서울특별시"
"식품안전정보원","기타공공기관","http://foodlaw.foodinfo.or.kr","서울특별시"
"한국기술교육대학교 직업능력심사평가원","한국기술교육대학교 / 기타공공기관","","서울특별시"
"재단법인 한국공공조직은행","기타공공기관","https://kptb.kr/","서울특별시"
"한국문화예술위원회 예술가의집","한국문화예술위원회 / 기타공공기관","","서울특별시"
"(재)우체국물류지원단","준정부기관(위탁집행형)","","서울특별시"
"한국환경보전원","기타공공기관","","서울특별시"
"아동권리보장원","기타공공기관","http://www.ncrc.or.kr/","서울특별시"
"해양환경공단","공기업(준시장형)","","서울특별시"
"해양수산과학기술진흥원","기타공공기관","http://www.kimst.re.kr","서울특별시"
"한국환경산업기술원","준정부기관(위탁집행형)","","서울특별시"
"한식진흥원","기타공공기관","","서울특별시"
"한국행정연구원","기타공공기관","https://www.youtube.com/channel/UCavD95DUpkV_x70VdHia-2Q","서울특별시"
"한국해양조사협회","기타공공기관","http://khra.kr","서울특별시"
"한국해외인프라도시개발지원공사","기타공공기관","http://www.kindkorea.or.kr/","서울특별시"
"한국투자공사","기타공공기관","","서울특별시"
"한국체육산업개발(주)","기타공공기관","","서울특별시"
"한국청소년활동진흥원","기타공공기관","https://www.youth.go.kr/youth/","서울특별시"
"한국제품안전관리원","기타공공기관","https://tacci.kr","서울특별시"
"한국중소벤처기업유통원","기타공공기관","","서울특별시"
"한국지식재산보호원","기타공공기관","https://www.koipa.re.kr","서울특별시"
"한국지식재산연구원","기타공공기관","http://lib.kiip.re.kr","서울특별시"
"한국저작권보호원","기타공공기관","https://www.kcopa.or.kr/","서울특별시"
"한국재정정보원","준정부기관(위탁집행형)","https://www.openfiscaldata.go.kr/","서울특별시"
"한국장애인개발원","기타공공기관","https://www.koddi.or.kr/","서울특별시"
"한국임업진흥원","기타공공기관","","서울특별시"
"한국의료기기안전정보원","기타공공기관","http://www.nids.or.kr/","서울특별시"
"한국원자력의학원","기타공공기관","","서울특별시"
"한국의료분쟁조정중재원","기타공공기관","","서울특별시"
"한국예술인복지재단","기타공공기관","https://www.kawfartist.kr/","서울특별시"
"한국영상자료원","기타공공기관","http://www.kmdb.or.kr","서울특별시"
"한국여성정책연구원","기타공공기관","","서울특별시"
"한국여성인권진흥원","기타공공기관","","서울특별시"
"한국에너지정보문화재단","기타공공기관","https://www.etrans.or.kr/","서울특별시"
"한국에너지기술평가원","기타공공기관","","서울특별시"
"한국언론진흥재단","기타공공기관","","서울특별시"
"한국양성평등교육진흥원","기타공공기관","","서울특별시"
"한국어촌어항공단","기타공공기관","","서울특별시"
"한국여성과학기술인육성재단","기타공공기관","https://www.wbridge.or.kr","서울특별시"
